" 3D Run ID","ry","rx","Tables\0D Results\Average Phase_1"
"1","20","20","0.977908"
"2","30","20","0.978502"
"3","40","20","0.978833"
"4","50","20","0.979552"
"5","60","20","0.980302"
"6","70","20","0.98143"
"7","80","20","0.982571"
"8","90","20","0.983542"
"9","100","20","0.984918"
"10","110","20","0.986122"
"11","120","20","0.987206"
"12","130","20","0.988113"
"13","140","20","0.98911"
"14","150","20","0.989808"
"15","160","20","0.990321"
"16","170","20","0.990515"
"17","180","20","0.990582"
"18","190","20","0.990234"
"19","200","20","0.989413"
"20","20","30","0.978146"
"21","30","30","0.978829"
"22","40","30","0.979556"
"23","50","30","0.980474"
"24","60","30","0.981761"
"25","70","30","0.98313"
"26","80","30","0.985046"
"27","90","30","0.9868"
"28","100","30","0.988566"
"29","110","30","0.989888"
"30","120","30","0.990694"
"31","130","30","0.990759"
"32","140","30","0.99011"
"33","150","30","0.988269"
"34","160","30","0.986196"
"35","170","30","0.983025"
"36","180","30","0.978576"
"37","190","30","0.960235"
"38","200","30","0.964616"
"39","20","40","0.978211"
"40","30","40","0.979167"
"41","40","40","0.980065"
"42","50","40","0.98167"
"43","60","40","0.983248"
"44","70","40","0.985191"
"45","80","40","0.987306"
"46","90","40","0.989062"
"47","100","40","0.990118"
"48","110","40","0.990026"
"49","120","40","0.988103"
"50","130","40","0.985189"
"51","140","40","0.974501"
"52","150","40","0.963431"
"53","160","40","0.964415"
"54","170","40","0.959214"
"55","180","40","0.953816"
"56","190","40","0.948499"
"57","200","40","0.943844"
"58","20","50","0.978388"
"59","30","50","0.979212"
"60","40","50","0.980721"
"61","50","50","0.982374"
"62","60","50","0.9845"
"63","70","50","0.986589"
"64","80","50","0.988799"
"65","90","50","0.989702"
"66","100","50","0.988811"
"67","110","50","0.98584"
"68","120","50","0.978756"
"69","130","50","0.957529"
"70","140","50","0.958581"
"71","150","50","0.953699"
"72","160","50","0.950021"
"73","170","50","0.947655"
"74","180","50","0.947207"
"75","190","50","0.977605"
"76","200","50","0.958619"
"77","20","60","0.978711"
"78","30","60","0.979705"
"79","40","60","0.981067"
"80","50","60","0.98317"
"81","60","60","0.985504"
"82","70","60","0.987761"
"83","80","60","0.989107"
"84","90","60","0.988786"
"85","100","60","0.985032"
"86","110","60","0.962921"
"87","120","60","0.954664"
"88","130","60","0.95322"
"89","140","60","0.950307"
"90","150","60","0.949277"
"91","160","60","0.97371"
"92","170","60","0.967106"
"93","180","60","0.974847"
"94","190","60","0.981251"
"95","200","60","0.989062"
"96","20","70","0.978869"
"97","30","70","0.979857"
"98","40","70","0.981802"
"99","50","70","0.984149"
"100","60","70","0.986509"
"101","70","70","0.988449"
"102","80","70","0.988485"
"103","90","70","0.986007"
"104","100","70","0.98403"
"105","110","70","0.947701"
"106","120","70","0.951373"
"107","130","70","0.950463"
"108","140","70","0.636754"
"109","150","70","0.974701"
"110","160","70","0.981982"
"111","170","70","0.990304"
"112","180","70","0.995888"
"113","190","70","0.999245"
"114","200","70","0.999259"
"115","20","80","0.979133"
"116","30","80","0.980452"
"117","40","80","0.982282"
"118","50","80","0.984805"
"119","60","80","0.987324"
"120","70","80","0.988693"
"121","80","80","0.987957"
"122","90","80","0.985286"
"123","100","80","0.911647"
"124","110","80","0.949941"
"125","120","80","0.951333"
"126","130","80","0.991946"
"127","140","80","0.981379"
"128","150","80","0.990582"
"129","160","80","0.997358"
"130","170","80","0.99949"
"131","180","80","0.997569"
"132","190","80","0.990858"
"133","200","80","0.978992"
"134","20","90","0.979211"
"135","30","90","0.980714"
"136","40","90","0.98279"
"137","50","90","0.985428"
"138","60","90","0.987567"
"139","70","90","0.988371"
"140","80","90","0.986204"
"141","90","90","0.989137"
"142","100","90","0.942512"
"143","110","90","0.951025"
"144","120","90","0.92235"
"145","130","90","0.984519"
"146","140","90","0.993969"
"147","150","90","0.998784"
"148","160","90","0.99814"
"149","170","90","0.991329"
"150","180","90","0.980906"
"151","190","90","0.96828"
"152","200","90","0.956654"
"153","20","100","0.979533"
"154","30","100","0.981161"
"155","40","100","0.983298"
"156","50","100","0.985935"
"157","60","100","0.988085"
"158","70","100","0.987789"
"159","80","100","0.987553"
"160","90","100","0.831945"
"161","100","100","0.944956"
"162","110","100","0.952661"
"163","120","100","0.984353"
"164","130","100","0.993971"
"165","140","100","0.998907"
"166","150","100","0.996231"
"167","160","100","0.987506"
"168","170","100","0.974711"
"169","180","100","0.959659"
"170","190","100","0.949685"
"171","200","100","0.916049"
"172","20","110","0.979663"
"173","30","110","0.981546"
"174","40","110","0.983936"
"175","50","110","0.98646"
"176","60","110","0.988103"
"177","70","110","0.988137"
"178","80","110","0.99141"
"179","90","110","0.920521"
"180","100","110","0.948438"
"181","110","110","0.894732"
"182","120","110","0.990455"
"183","130","110","0.998305"
"184","140","110","0.996148"
"185","150","110","0.986613"
"186","160","110","0.97298"
"187","170","110","0.957827"
"188","180","110","0.942379"
"189","190","110","0.921646"
"190","200","110","0.910681"
"191","20","120","0.979948"
"192","30","120","0.981891"
"193","40","120","0.984305"
"194","50","120","0.98681"
"195","60","120","0.988"
"196","70","120","0.987339"
"197","80","120","0.998363"
"198","90","120","0.933558"
"199","100","120","0.951791"
"200","110","120","0.984102"
"201","120","120","0.995506"
"202","130","120","0.997574"
"203","140","120","0.988968"
"204","150","120","0.975112"
"205","160","120","0.959599"
"206","170","120","0.942907"
"207","180","120","0.858047"
"208","190","120","0.919427"
"209","200","120","0.908007"
"210","20","130","0.980084"
"211","30","130","0.982234"
"212","40","130","0.984673"
"213","50","130","0.987125"
"214","60","130","0.98806"
"215","70","130","0.987792"
"216","80","130","0.0989133"
"217","90","130","0.937905"
"218","100","130","0.950586"
"219","110","130","0.989166"
"220","120","130","0.997946"
"221","130","130","0.993527"
"222","140","130","0.979919"
"223","150","130","0.963614"
"224","160","130","0.94632"
"225","170","130","0.927978"
"226","180","130","0.935537"
"227","190","130","0.93011"
"228","200","130","0.948874"
"229","20","140","0.980317"
"230","30","140","0.982584"
"231","40","140","0.985004"
"232","50","140","0.98734"
"233","60","140","0.988299"
"234","70","140","0.99061"
"235","80","140","0.843269"
"236","90","140","0.942048"
"237","100","140","0.907364"
"238","110","140","0.99305"
"239","120","140","0.996863"
"240","130","140","0.987267"
"241","140","140","0.971033"
"242","150","140","0.954056"
"243","160","140","0.938599"
"244","170","140","0.905366"
"245","180","140","0.988306"
"246","190","140","0.720308"
"247","200","140","0.816744"
"248","20","150","0.980488"
"249","30","150","0.982844"
"250","40","150","0.985526"
"251","50","150","0.9873"
"252","60","150","0.987647"
"253","70","150","0.992841"
"254","80","150","0.893914"
"255","90","150","0.944275"
"256","100","150","0.897392"
"257","110","150","0.995602"
"258","120","150","0.99439"
"259","130","150","0.980823"
"260","140","150","0.964831"
"261","150","150","0.890676"
"262","160","150","0.854163"
"263","170","150","0.913156"
"264","180","150","0.880343"
"265","190","150","0.864224"
"266","200","150","0.852987"
"267","20","160","0.980694"
"268","30","160","0.983162"
"269","40","160","0.985666"
"270","50","160","0.987837"
"271","60","160","0.988744"
"272","70","160","0.99791"
"273","80","160","0.909835"
"274","90","160","0.94622"
"275","100","160","0.978692"
"276","110","160","0.996493"
"277","120","160","0.990702"
"278","130","160","0.97518"
"279","140","160","0.918831"
"280","150","160","0.899357"
"281","160","160","0.734229"
"282","170","160","0.903679"
"283","180","160","0.867617"
"284","190","160","0.805509"
"285","200","160","0.506212"
"286","20","170","0.980943"
"287","30","170","0.983378"
"288","40","170","0.986124"
"289","50","170","0.987657"
"290","60","170","0.987836"
"291","80","170","0.92068"
"292","90","170","0.946938"
"293","100","170","0.986824"
"294","110","170","0.995822"
"295","120","170","0.889227"
"296","130","170","0.94977"
"297","140","170","0.921045"
"298","150","170","0.87073"
"299","160","170","0.904442"
"300","170","170","0.32851"
"301","180","170","0.90127"
"302","190","170","0.91415"
"303","200","170","0.915686"
"304","20","180","0.9811"
"305","30","180","0.983686"
"306","40","180","0.986232"
"307","50","180","0.987748"
"308","60","180","0.988909"
"309","70","180","0.629277"
"310","80","180","0.924736"
"311","90","180","0.943114"
"312","100","180","0.989985"
"313","110","180","0.95927"
"314","120","180","0.971296"
"315","130","180","0.940917"
"316","140","180","0.898028"
"317","150","180","0.635975"
"318","160","180","0.967981"
"319","170","180","0.936081"
"320","180","180","0.925017"
"321","190","180","0.923508"
"322","200","180","0.931964"
"323","20","190","0.981336"
"324","30","190","0.983928"
"325","40","190","0.986347"
"326","50","190","0.987728"
"327","60","190","0.989532"
"328","70","190","0.504305"
"329","80","190","0.928931"
"330","90","190","0.922007"
"331","100","190","0.990534"
"332","110","190","0.987421"
"333","120","190","0.962267"
"334","130","190","0.922922"
"335","140","190","0.872369"
"336","150","190","0.462407"
"337","160","190","0.94555"
"338","170","190","0.930149"
"339","180","190","0.925552"
"340","190","190","0.928267"
"341","200","190","0.941156"
"342","20","200","0.981454"
"343","30","200","0.984145"
"344","40","200","0.986461"
"345","50","200","0.987527"
"346","60","200","0.989855"
"347","70","200","0.761254"
"348","80","200","0.931742"
"349","90","200","0.789547"
"350","100","200","0.993297"
"351","110","200","0.983102"
"352","120","200","0.951563"
"353","130","200","0.909202"
"354","140","200","0.792846"
"355","150","200","0.907774"
"356","160","200","0.938393"
"357","170","200","0.928881"
"358","180","200","0.928616"
"359","190","200","0.93378"
"360","200","200","0.986963"
"0","","",""
