" 3D Run ID","ry","rx","Tables\0D Results\Average Phase"
"1","20","20","-45.8872"
"2","30","20","-47.6319"
"3","40","20","-49.8098"
"4","50","20","-52.2728"
"5","60","20","-55.0606"
"6","70","20","-58.1494"
"7","80","20","-61.4309"
"8","90","20","-64.9347"
"9","100","20","-68.5978"
"10","110","20","-72.3854"
"11","120","20","-76.3135"
"12","130","20","-80.2595"
"13","140","20","-84.2491"
"14","150","20","-88.2756"
"15","160","20","-92.3435"
"16","170","20","-96.4881"
"17","180","20","-100.756"
"18","190","20","-105.298"
"19","200","20","-110.554"
"20","20","30","-46.6849"
"21","30","30","-49.1024"
"22","40","30","-52.0949"
"23","50","30","-55.6574"
"24","60","30","-59.8341"
"25","70","30","-64.5785"
"26","80","30","-69.8692"
"27","90","30","-75.6146"
"28","100","30","-81.9842"
"29","110","30","-88.6055"
"30","120","30","-95.4292"
"31","130","30","-102.404"
"32","140","30","-109.512"
"33","150","30","-116.229"
"34","160","30","-123.886"
"35","170","30","-131.294"
"36","180","30","-139.521"
"37","190","30","-154.363"
"38","200","30","-148.346"
"39","20","40","-47.5033"
"40","30","40","-50.4576"
"41","40","40","-54.2892"
"42","50","40","-58.9433"
"43","60","40","-64.5991"
"44","70","40","-71.1659"
"45","80","40","-78.5685"
"46","90","40","-86.8442"
"47","100","40","-96.0579"
"48","110","40","-105.919"
"49","120","40","-116.356"
"50","130","40","-127.459"
"51","140","40","-144.714"
"52","150","40","-139.8"
"53","160","40","-152.24"
"54","170","40","-162.459"
"55","180","40","-171.767"
"56","190","40","178.755"
"57","200","40","167.874"
"58","20","50","-48.2646"
"59","30","50","-51.8398"
"60","40","50","-56.4691"
"61","50","50","-62.2939"
"62","60","50","-69.2938"
"63","70","50","-77.531"
"64","80","50","-87.2762"
"65","90","50","-98.6376"
"66","100","50","-111.393"
"67","110","50","-125.263"
"68","120","50","-145.028"
"69","130","50","-144.698"
"70","140","50","-161.153"
"71","150","50","-174.09"
"72","160","50","174.251"
"73","170","50","163.391"
"74","180","50","152.442"
"75","190","50","147.752"
"76","200","50","130.448"
"77","20","60","-49.0599"
"78","30","60","-53.2092"
"79","40","60","-58.6873"
"80","50","60","-65.4737"
"81","60","60","-73.8042"
"82","70","60","-83.9687"
"83","80","60","-96.3811"
"84","90","60","-110.747"
"85","100","60","-127.486"
"86","110","60","-159.731"
"87","120","60","-154.596"
"88","130","60","-173.222"
"89","140","60","170.909"
"90","150","60","156.314"
"91","160","60","147.281"
"92","170","60","133.352"
"93","180","60","120.838"
"94","190","60","109.841"
"95","200","60","96.5826"
"96","20","70","-49.8347"
"97","30","70","-54.5755"
"98","40","70","-60.8401"
"99","50","70","-68.5435"
"100","60","70","-78.4513"
"101","70","70","-90.5741"
"102","80","70","-105.462"
"103","90","70","-123.29"
"104","100","70","-149.605"
"105","110","70","-155.306"
"106","120","70","-177.931"
"107","130","70","162.74"
"108","140","70","110.866"
"109","150","70","132.13"
"110","160","70","117.918"
"111","170","70","104.695"
"112","180","70","92.848"
"113","190","70","81.4149"
"114","200","70","67.062"
"115","20","80","-50.6418"
"116","30","80","-55.9964"
"117","40","80","-62.8743"
"118","50","80","-71.7153"
"119","60","80","-82.9829"
"120","70","80","-97.163"
