" 3D Run ID","h1","lambda","r","Tables\0D Results\Average Phase"
"1","70","400","100","0.62671"
"2","75","400","100","0.702722"
"3","80","400","100","0.767305"
"4","85","400","100","0.818356"
"5","90","400","100","0.843176"
"6","95","400","100","0.831971"
"7","100","400","100","0.770989"
"8","105","400","100","0.655553"
"9","110","400","100","0.486896"
"10","115","400","100","0.314647"
"11","120","400","100","0.203632"
"12","125","400","100","0.191141"
"13","130","400","100","0.254523"
"14","70","450","100","0.649174"
"15","75","450","100","0.586117"
"16","80","450","100","0.513072"
"17","85","450","100","0.41808"
"18","90","450","100","0.296044"
"19","95","450","100","0.0559287"
"20","100","450","100","0.422357"
"21","105","450","100","0.426409"
"22","110","450","100","0.267737"
"23","115","450","100","0.15052"
"24","120","450","100","0.0476069"
"25","125","450","100","-0.0474725"
"26","130","450","100","-0.136702"
"27","70","500","100","-0.727703"
"28","75","500","100","-0.650722"
"29","80","500","100","-0.567651"
"30","85","500","100","-0.480524"
"31","90","500","100","-0.393478"
"32","95","500","100","-0.303176"
"33","100","500","100","-0.214707"
"34","105","500","100","-0.126526"
"35","110","500","100","-0.0386842"
"36","115","500","100","0.044051"
"37","120","500","100","0.12824"
"38","125","500","100","0.206134"
"39","130","500","100","0.281425"
"40","70","550","100","0.68361"
"41","75","550","100","0.637048"
"42","80","550","100","0.585844"
"43","85","550","100","0.531609"
"44","90","550","100","0.473934"
"45","95","550","100","0.412436"
"46","100","550","100","0.347419"
"47","105","550","100","0.279508"
"48","110","550","100","0.208384"
"49","115","550","100","0.138881"
"50","120","550","100","0.0641883"
"51","125","550","100","-0.0111623"
"52","130","550","100","-0.0870498"
"53","70","600","100","-0.0609624"
"54","75","600","100","0.00648072"
"55","80","600","100","0.0737313"
"56","85","600","100","0.140333"
"57","90","600","100","0.204766"
"58","95","600","100","0.268857"
"59","100","600","100","0.329881"
"60","105","600","100","0.389459"
"61","110","600","100","0.44728"
"62","115","600","100","0.501736"
"63","120","600","100","0.553676"
"64","125","600","100","0.604124"
"65","130","600","100","0.651902"
"66","70","650","100","-0.797466"
"67","75","650","100","-0.83067"
"68","80","650","100","-0.859955"
"69","85","650","100","-0.887358"
"70","90","650","100","-0.910941"
"71","95","650","100","-0.931137"
"72","100","650","100","-0.949107"
"73","105","650","100","-0.962915"
"74","110","650","100","-0.972629"
"75","115","650","100","-0.978621"
"76","120","650","100","-0.980667"
"77","125","650","100","-0.978817"
"78","130","650","100","-0.973161"
"79","130","400","70","0.845782"
"80","130","400","75","0.709459"
"81","130","400","80","0.503983"
"82","130","400","85","0.308365"
"83","130","400","90","0.213114"
"84","130","400","95","0.203927"
"85","130","400","105","0.331467"
"86","130","400","110","0.425744"
"87","130","400","115","0.53226"
"88","130","400","120","0.642315"
"89","130","400","125","0.718248"
"90","130","400","130","0.735101"
"91","130","450","70","-0.116895"
"92","130","450","75","-0.150814"
"93","130","450","80","-0.204521"
"94","130","450","85","-0.350646"
"95","130","450","90","0.252608"
"96","130","450","95","-0.0522204"
"97","130","450","105","-0.190895"
"98","130","450","110","-0.240898"
"99","130","450","115","-0.293467"
"100","130","450","120","-0.345525"
"101","130","450","125","-0.401029"
"102","130","450","130","-0.464732"
"103","130","500","70","-0.266241"
"104","130","500","75","-0.206474"
"105","130","500","80","-0.131483"
"106","130","500","85","-0.0459879"
"107","130","500","90","0.0527697"
"108","130","500","95","0.164126"
"109","130","500","105","0.37118"
"110","130","500","110","0.436226"
"111","130","500","115","0.442957"
"112","130","500","120","0.367747"
"113","130","500","125","0.177873"
"114","130","500","130","0.0476849"
"115","130","550","70","0.127776"
"116","130","550","75","0.101238"
"117","130","550","80","0.0709056"
"118","130","550","85","0.0371436"
"119","130","550","90","-0.00123669"
"120","130","550","95","-0.0416848"
"121","130","550","105","-0.135939"
"122","130","550","110","-0.185173"
"123","130","550","115","-0.236664"
"124","130","550","120","-0.292286"
"125","130","550","125","-0.347929"
"126","130","550","130","-0.408876"
"127","130","600","70","0.474675"
"128","130","600","75","0.500016"
"129","130","600","80","0.527897"
"130","130","600","85","0.558629"
